query_id,query,split,query_type,topic,intent_group,answer_summary,source_evidence,decision,reason,reviewer
test-001,Why should a linear-regression loss care about how far off a prediction is rather than whether it overshoots or undershoots?,test,paraphrase,linear_regression_loss,test-loss-error-direction,"Loss uses the magnitude of the prediction error, so the sign or direction of the error is removed.","05_google_linear_loss.txt, page None: Loss focuses on the distance between the values, not the direction.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-002,How do MSE and MAE differ in their sensitivity to outliers?,test,direct,linear_regression_loss,test-mae-mse-outliers,MSE squares errors and therefore pulls the model more strongly toward outliers; MAE is more robust to them.,"05_google_linear_loss.txt, page None: When the difference between the prediction and label is large, squaring makes the loss even larger.
05_google_linear_loss.txt, page None: MSE moves the model more toward the outliers, while MAE doesn't. L2 loss incurs a much higher penalty for an outlier than L1 loss.
05_google_linear_loss.txt, page None: MSE. The model is closer to the outliers but further away from most of the other data points. MAE. The model is further away from the outliers but closer to most of the other data points.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-003,What steps does gradient descent repeat to reduce a linear model’s loss?,test,direct,gradient_descent,test-gradient-descent-process,"It evaluates the current loss, finds a loss-reducing direction, and moves the weights and bias a small amount in that direction repeatedly.","06_google_gradient_descent.txt, page None: Calculate the loss with the current weight and bias. Determine the direction to move the weights and bias that reduce loss. Move the weight and bias values a small amount in the direction that reduces loss.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-004,What shape in a training loss curve indicates that gradient descent has converged?,test,paraphrase,gradient_descent,test-convergence-loss-curve,Convergence is indicated when loss stops materially decreasing and the curve stabilizes or flattens.,"06_google_gradient_descent.txt, page None: When a model converges, additional iterations don't reduce loss more because gradient descent has found the weights and bias that nearly minimize the loss.
06_google_gradient_descent.txt, page None: You can see that loss dramatically decreases during the first few iterations, then gradually decreases before flattening out around the 1,000th-iteration mark.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-005,How do hyperparameters differ from model parameters?,test,direct,hyperparameters,test-hyperparameters-vs-parameters,"A developer controls hyperparameters, while training calculates model parameters such as weights and bias.","07_google_hyperparameters.txt, page None: hyperparameters are values that you control; parameters are values that the model calculates during training.
07_google_hyperparameters.txt, page None: hyperparameters are values that you control; parameters are values that the model calculates during training.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-006,What training behavior suggests that the step size is too large?,test,synonym,hyperparameters,test-learning-rate-too-high,"An excessively high learning rate prevents convergence and makes loss bounce, fluctuate, or increase.","07_google_hyperparameters.txt, page None: if the learning rate is too high, the model never converges, but instead bounces around the weights and bias that minimize the loss.
07_google_hyperparameters.txt, page None: A learning rate that's too large never converges because each iteration either causes the loss to bounce around or continually increase.
07_google_hyperparameters.txt, page None: Loss graph showing a model trained with a learning rate that's too big, where the loss curve drastically increases in later iterations.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-007,What does one epoch mean during model training?,test,direct,hyperparameters,test-epoch-definition,One epoch is completed when the model has processed every training example once.,"07_google_hyperparameters.txt, page None: During training, an epoch means that the model has processed every example in the training set once.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-008,"For finite real-valued inputs in the mathematical sigmoid, are 0 and 1 attained or only approached?",test,paraphrase,sigmoid,test-sigmoid-asymptotes,"For finite real inputs in exact arithmetic, the output lies strictly between 0 and 1. The endpoints are approached as limits.","08_google_sigmoid.txt, page None: As the input, x, increases, the output of the sigmoid function approaches but never reaches 1. Similarly, as the input decreases, the sigmoid function's output approaches but never reaches 0.
08_google_sigmoid.txt, page None: no matter how large or how small the input value, the output will always be greater than 0 and less than 1.
08_google_sigmoid.txt, page None: the output of the sigmoid function, y', is always between 0 and 1, exclusive.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-009,What numerical-precision concern does the lesson give for squared loss near sigmoid outputs of 0 and 1?,test,direct,logistic_regression_loss,test-logistic-squared-loss-precision,"Near 0 or 1, squared loss would require increasing numerical precision and memory to track small output differences.","09_google_logistic_loss.txt, page None: If you used squared loss to calculate errors for the sigmoid function, as the output got closer and closer to 0 and 1, you would need more memory to preserve the precision needed to track these values.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-010,"For scores strictly above or below a binary classification threshold, which class is assigned?",test,direct,classification_thresholds,test-threshold-class-assignment,A score above the threshold is assigned to the positive class; a score below it to the negative class. Equality is outside this question and depends on the implementation.,"10_google_thresholds.txt, page None: Examples with a probability above the threshold value are then assigned to the positive class, the class you are testing for (here, spam). Examples with a lower probability are assigned to the negative class, the alternative class (here, not spam).
10_google_thresholds.txt, page None: If you set the classification threshold to 0.5, the model will classify both emails as spam. If you set the threshold to 0.95, only the email scoring 0.99 will be classified as spam.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-011,Why is 0.5 not automatically a sensible decision cutoff for every binary classifier?,test,paraphrase,classification_thresholds,test-threshold-cost-and-imbalance,A 0.5 cutoff can be inappropriate when classes are imbalanced or the two kinds of classification error have unequal costs.,"10_google_thresholds.txt, page None: While 0.5 might seem like an intuitive threshold, it's not a good idea if the cost of one type of wrong classification is greater than the other, or if the classes are imbalanced.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-012,Why can accuracy be misleading on a heavily imbalanced dataset?,test,direct,classification_metrics,test-accuracy-class-imbalance,A model can predict only the majority class and earn very high accuracy while failing to identify the rare class at all.,"11_google_classification_metrics.txt, page None: For heavily imbalanced datasets, where one class appears very rarely, say 1% of the time, a model that predicts negative 100% of the time would score 99% on accuracy, despite being useless.
11_google_classification_metrics.txt, page None: a model that predicts negative 100% of the time would score 99% on accuracy, despite being useless.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-013,How could a useless always-negative classifier still report 99% correct predictions?,test,paraphrase,classification_metrics,test-accuracy-class-imbalance,"If positives are only 1% of examples, always predicting the majority negative class yields 99% accuracy despite no useful detection.","11_google_classification_metrics.txt, page None: For heavily imbalanced datasets, where one class appears very rarely, say 1% of the time, a model that predicts negative 100% of the time would score 99% on accuracy, despite being useless.
11_google_classification_metrics.txt, page None: a model that predicts negative 100% of the time would score 99% on accuracy, despite being useless.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-014,"In binary classification, what share of cases does sensitivity, also called recall, measure?",test,synonym,classification_metrics,test-recall-definition,Recall is the fraction of all actual positives that the model correctly classifies as positive.,"11_google_classification_metrics.txt, page None: The true positive rate (TPR), or the proportion of all actual positives that were classified correctly as positives, is also known as recall.
11_google_classification_metrics.txt, page None: recall measures the fraction of spam emails that were correctly classified as spam.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-015,What is precision in a binary classification evaluation?,test,direct,classification_metrics,test-precision-definition,Precision is the proportion of predicted positives that are actually positive.,"11_google_classification_metrics.txt, page None: Precision is the proportion of all the model's positive classifications that are actually positive.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-016,Why does raising a classification cutoff often improve precision while hurting recall?,test,paraphrase,classification_metrics,test-threshold-precision-recall-tradeoff,"A higher threshold usually reduces false positives but increases false negatives, so precision and recall tend to move in opposite directions.","11_google_classification_metrics.txt, page None: increasing the classification threshold tends to decrease the number of false positives and increase the number of false negatives, while decreasing the threshold has the opposite effects. As a result, precision and recall often show an inverse relationship, where improving one of them worsens the other.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-017,How is an ROC curve constructed?,test,direct,roc_auc,test-roc-construction,An ROC curve plots true-positive rate against false-positive rate across threshold choices.,"12_google_roc_auc.txt, page None: The ROC curve is drawn by calculating the true positive rate (TPR) and false positive rate (FPR) at every possible threshold (in practice, at selected intervals), then graphing TPR over FPR.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-018,What probability does AUC represent for a randomly selected positive-negative pair?,test,direct,roc_auc,test-auc-ranking-interpretation,AUC is the probability that the model ranks the randomly selected positive example above the randomly selected negative example.,"12_google_roc_auc.txt, page None: The area under the ROC curve (AUC) represents the probability that the model, if given a randomly chosen positive and negative example, will rank the positive higher than the negative.
12_google_roc_auc.txt, page None: a spam classifier with AUC of 1.0 always assigns a random spam email a higher probability of being spam than a random legitimate email.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-019,"In pairwise ranking terms, how should an AUC score be interpreted?",test,paraphrase,roc_auc,test-auc-ranking-interpretation,It measures how often a random positive receives a higher score than a random negative.,"12_google_roc_auc.txt, page None: The area under the ROC curve (AUC) represents the probability that the model, if given a randomly chosen positive and negative example, will rank the positive higher than the negative.
12_google_roc_auc.txt, page None: a spam classifier with AUC of 1.0 always assigns a random spam email a higher probability of being spam than a random legitimate email.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-020,"In these learning examples, what numerical representation is used for one data instance?",test,synonym,feature_vectors,test-feature-vector-ingestion,"A numeric feature vector, represented as an array or column vector of the example's feature values.","13_google_feature_vectors.txt, page None: the model actually ingests an array of floating-point values called a feature vector. You can think of a feature vector as the floating-point values comprising one example.
01_mit_introduction_classification.pdf, page 1: We assume that each image (grayscale) is represented as a column vector x of dimension d. So, the pixel intensity values in the image, column by column, are concatenated into a single column vector.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-021,What is feature engineering in the context of feature vectors?,test,direct,feature_vectors,test-feature-engineering-definition,Feature engineering is the process of turning raw dataset values into representations that a model can learn from.,"13_google_feature_vectors.txt, page None: You must determine the best way to represent raw dataset values as trainable values in the feature vector. This process is called feature engineering
13_google_feature_vectors.txt, page None: You must determine the best way to represent raw dataset values as trainable values in the feature vector. This process is called feature engineering",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-022,"In the lesson's training example, why should numerical features with very different ranges be scaled?",test,direct,normalization,test-normalization-scale-dominance,Scaling prevents wide-range features from receiving disproportionate attention relative to narrow-range features.,"14_google_normalization.txt, page None: Without feature scaling, the model pays too much attention to features with wide ranges and not enough attention to features with narrow ranges.
14_google_normalization.txt, page None: At the start of training, the model assumes that Feature B is ten times more ""important"" than Feature A.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-023,Why might the learner in the example initially treat a wider-range input as more important?,test,paraphrase,normalization,test-normalization-scale-dominance,"Without normalization, the model may treat the wider-range feature as more important solely because of its scale.","14_google_normalization.txt, page None: Without feature scaling, the model pays too much attention to features with wide ranges and not enough attention to features with narrow ranges.
14_google_normalization.txt, page None: At the start of training, the model assumes that Feature B is ten times more ""important"" than Feature A.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-024,When is Z-score scaling a good normalization choice?,test,direct,normalization,test-z-score-use-case,Z-score scaling is well suited to normally or approximately normally distributed features.,"14_google_normalization.txt, page None: Z-score is a good choice when the data follows a normal distribution or a distribution somewhat like a normal distribution.
14_google_normalization.txt, page None: When the feature is normally distributed (peak close to mean).
14_google_normalization.txt, page None: Z-score scaling is also a good choice for data like that shown in the following figure, which has only a vaguely normal distribution.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-025,For what kind of distribution is log scaling helpful?,test,direct,normalization,test-log-scaling-use-case,Log scaling is helpful for power-law or otherwise heavily skewed feature distributions.,"14_google_normalization.txt, page None: Log scaling is helpful when the data conforms to a power law distribution.
14_google_normalization.txt, page None: Log scaling is helpful when the data conforms to a power law distribution.
14_google_normalization.txt, page None: Log scaling $$ x' = log(x)$$ When the feature distribution is heavy skewed on at least either side of tail.
14_google_normalization.txt, page None: As a second example, book sales conform to a power law distribution because:
14_google_normalization.txt, page None: However, log scaling all the sales figures makes the task far more feasible.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
test-026,How does clipping tame extreme numerical values?,test,synonym,normalization,test-clipping-mechanics,"Clipping replaces values beyond chosen bounds with the corresponding boundary value, limiting extreme outlier influence.","14_google_normalization.txt, page None: Clipping is a technique to minimize the influence of extreme outliers. In brief, clipping usually caps (reduces) the value of outliers to a specific maximum value.
14_google_normalization.txt, page None: Clipping the feature value at 4.0 doesn't mean that your model ignores all values greater than 4.0. Rather, it means that all values that were greater than 4.0 now become 4.0.
14_google_normalization.txt, page None: Clipping If $x > max$, set $x' = max$ If $x < min$, set $x' = min$ When the feature contains extreme outliers.
14_google_normalization.txt, page None: Clip Z-scores greater than 3 to become exactly 3. Clip Z-scores less than -3 to become exactly -3.",accepted,Pitanje je jasno; vise odlomaka samostalno objasnjava mehanizam odsecanja ekstremnih vrednosti.,assistant
test-027,"For N categories, what length and value pattern does a true one-hot vector use?",test,direct,one_hot_encoding,test-one-hot-vector-structure,"The vector has N elements, exactly one set to 1.0 and all others set to 0.0.","15_google_one_hot_encoding.txt, page None: Exactly one of the elements in a one-hot vector has the value 1.0; all the remaining elements have the value 0.0.",accepted,Pitanje precizno trazi i duzinu i obrazac vrednosti; jedan odlomak daje oba podatka.,assistant
test-028,How is a single category marked inside its categorical indicator array?,test,paraphrase,one_hot_encoding,test-one-hot-vector-structure,A single 1.0 marks that category in an N-element vector; every other position is 0.0.,"15_google_one_hot_encoding.txt, page None: Exactly one of the elements in a one-hot vector has the value 1.0; all the remaining elements have the value 0.0.
15_google_one_hot_encoding.txt, page None: In a true one-hot encoding, only one element has the value 1.0. In a variant known as multi-hot encoding, multiple values can be 1.0.",accepted,Pitanje je jasno i podrzano direktnim definicijama i konkretnim primerom indikatorskog niza.,assistant
test-029,Why is feeding category index numbers directly into a model misleading?,test,paraphrase,one_hot_encoding,test-category-index-false-order,The model treats indexes as continuous numbers and can infer meaningless numeric or ordinal relationships between categories.,"15_google_one_hot_encoding.txt, page None: If the categorical feature data is left as indexed integers and loaded into a model, the model would treat the indexed values as continuous floating-point numbers. The model would then consider ""purple"" six times more likely than ""orange.""",accepted,Pitanje je nedvosmisleno; jedan odlomak direktno objasnjava lazni numericki odnos.,assistant
test-030,How can rare categorical values be handled with an OOV bucket?,test,synonym,one_hot_encoding,test-oov-catch-all-bucket,Rare categories can be grouped into one catch-all out-of-vocabulary category that receives a shared weight.,"15_google_one_hot_encoding.txt, page None: Rather than giving each of these outlier colors a separate category, you can lump them into a single ""catch-all"" category called out-of-vocabulary (OOV).",accepted,Pitanje je jasno; jedan odlomak potpuno opisuje grupisanje retkih vrednosti u OOV bucket.,assistant
test-031,"What representation is usually preferred over one-hot encoding for a feature with hundreds of thousands of categories, and why?",test,paraphrase,one_hot_encoding,test-high-dimensional-embeddings,"Embeddings are usually preferred because they reduce dimensionality, which speeds training and lowers inference latency.","15_google_one_hot_encoding.txt, page None: Embeddings, detailed in a separate Embeddings module, are usually a much better choice. Embeddings substantially reduce the number of dimensions, which benefits models in two important ways: The model typically trains faster. The built model typically infers predictions more quickly.",accepted,Pitanje jasno trazi alternativu i razlog; jedan odlomak daje oba.,assistant
test-032,What rough data-quantity rule relates training examples to trainable parameters?,test,direct,data_characteristics,test-examples-to-parameters-rule,The lesson's rough guideline is at least one or two orders of magnitude more examples than trainable parameters; it is not a universal guarantee.,"16_google_data_characteristics.txt, page None: As a rough rule of thumb, your model should train on at least an order of magnitude (or two) more examples than trainable parameters.
16_google_data_characteristics.txt, page None: As a rough rule of thumb, your model should train on at least an order of magnitude (or two) more examples than trainable parameters.",accepted,"Pitanje trazi grubo pravilo, a dva preklapajuca odlomka ga izricito navode.",assistant
test-033,What are the two main ways to handle examples with missing feature values before training?,test,direct,data_characteristics,test-incomplete-example-handling,Either remove incomplete examples or impute well-reasoned values so the examples become complete.,"16_google_data_characteristics.txt, page None: Don't train a model on incomplete examples. Instead, fix or eliminate incomplete examples by doing one of the following: Delete incomplete examples. Impute missing values
16_google_data_characteristics.txt, page None: If you can't decide whether to delete or impute, consider building two datasets: one formed by deleting incomplete examples and the other by imputing.",accepted,Pitanje je jasno; dva odlomka samostalno navode brisanje i imputaciju.,assistant
test-034,Why are proxy targets generally less desirable than direct targets?,test,synonym,labels,test-direct-vs-proxy-labels,"A proxy label is only an imperfect approximation, and its usefulness is limited by how strongly it connects to the prediction of interest.","17_google_labels.txt, page None: Proxy labels are always a compromise—an imperfect approximation of a direct label. However, some proxy labels are close enough approximations to be useful.",accepted,Pitanje je jasno; jedan odlomak direktno objasnjava ogranicenje proxy ciljeva.,assistant
test-035,What pattern between training and validation loss suggests overfitting?,test,direct,overfitting,test-overfitting-loss-divergence,Overfitting is suggested when training loss keeps falling or stabilizing while validation loss begins to rise.,"18_google_overfitting.txt, page None: loss declines or holds steady (converges) for the training set, but increases for the validation set. This suggests overfitting.
18_google_overfitting.txt, page None: declines or holds steady (converges) for the training set, but increases for the validation set. This suggests overfitting.",accepted,Pitanje je jasno; dva odlomka direktno opisuju divergenciju trening i validacionog gubitka.,assistant
test-036,"How should training, validation, test, and real-world examples relate statistically for good generalization?",test,paraphrase,overfitting,test-partition-distribution-alignment,"The partitions should have the same distribution, with evaluation examples representative of both training data and the real-world population.","18_google_overfitting.txt, page None: The dataset partitions have the same distribution. That is, the examples in the training set are statistically similar to the examples in the validation set, test set, and real-world data.",accepted,Pitanje je jasno; kandidati navode jednaku distribuciju odnosno reprezentativnost evaluacionih skupova.,assistant
test-037,What distribution shape and mean does the lesson associate with model weights under a high regularization rate?,test,direct,l2_regularization,test-l2-weight-distribution,"The lesson describes a tendency toward a normal distribution centered at a mean weight of zero, not an unconditional guarantee for every model.","19_google_l2_regularization.txt, page None: A high regularization rate: Strengthens the influence of regularization, thereby reducing the chances of overfitting. Tends to produce a histogram of model weights having the following characteristics: a normal distribution a mean weight of 0.",accepted,Pitanje je jasno; jedan odlomak izricito daje oblik raspodele i srednju vrednost.,assistant
test-038,"What is early stopping, and what validation-loss signal can trigger it?",test,direct,l2_regularization,test-early-stopping-trigger,"Early stopping ends training before full convergence, commonly when validation loss begins to increase.","19_google_l2_regularization.txt, page None: early stopping simply means ending training before the model fully converges. For example, you end training when the loss curve for the validation set starts to increase (slope becomes positive).",accepted,Pitanje trazi definiciju i okidac; jedan odlomak sadrzi oba.,assistant
test-039,When does the perceptron algorithm cease updating its parameters?,test,direct,perceptron,test-perceptron-stop-condition,"Updates cease when all training examples are classified correctly. This is the stopping condition, not a guarantee that every training set reaches it.","01_mit_introduction_classification.pdf, page 5: The perceptron algorithm ceases to update the parameters only when all the training images are classiﬁed correctly (no mistakes, no updates).",accepted,Pitanje je jasno; eksplicitni odgovor i pravilo azuriranja podrzavaju isti uslov.,assistant
test-040,What condition ends the perceptron’s sequence of mistake-driven updates?,test,paraphrase,perceptron,test-perceptron-stop-condition,"Updates cease when all training examples are classified correctly. This is the stopping condition, not a guarantee that every training set reaches it.","01_mit_introduction_classification.pdf, page 5: The perceptron algorithm ceases to update the parameters only when all the training images are classiﬁed correctly (no mistakes, no updates).",accepted,Pitanje je jasna parafraza uslova prestanka perceptrona.,assistant
none-001,How should a sourdough starter be fed before baking a loaf?,no_answer,out_of_scope,culinary_fermentation,none-sourdough-feeding,The corpus does not cover sourdough preparation or culinary fermentation.,No answer proposed in this corpus.,accepted,Namerno pitanje van domena korpusa; nijedan kandidat ne govori o pripremi ili hranjenju sourdough startera.,assistant
none-002,What distinguishes a Baroque fugue from a sonata?,no_answer,out_of_scope,music_theory,none-baroque-forms,The corpus does not cover Baroque music or musical forms.,No answer proposed in this corpus.,accepted,Namerno pitanje van domena korpusa; nijedan kandidat ne opisuje muzicke forme fuge i sonate.,assistant
none-003,How do I knit a basic cable stitch?,no_answer,out_of_scope,knitting,none-cable-knitting,The corpus does not cover knitting or textile crafts.,No answer proposed in this corpus.,accepted,Namerno pitanje van domena korpusa; nijedan kandidat ne sadrzi uputstvo za pletenje cable stitch-a.,assistant
none-004,Which layers make up Earth’s atmosphere?,no_answer,out_of_scope,earth_science,none-atmospheric-layers,The corpus does not cover atmospheric science or the layers of Earth’s atmosphere.,No answer proposed in this corpus.,accepted,Namerno pitanje van domena korpusa; nijedan kandidat ne nabraja slojeve Zemljine atmosfere.,assistant
none-005,Why do lunar eclipses turn the Moon red?,no_answer,out_of_scope,astronomy,none-lunar-eclipse-color,The corpus does not cover astronomy or lunar eclipses.,No answer proposed in this corpus.,accepted,Namerno pitanje van domena korpusa; nijedan kandidat ne objasnjava crvenu boju Meseca tokom pomracenja.,assistant
test-041,What inputs and outputs define the introductory face-image classifier?,test,direct,binary_classification,v2-binary-classifier-domain-codomain,It maps a real-valued image vector to one of the binary labels minus one or plus one.,"01_mit_introduction_classification.pdf, page 1: Our classiﬁer is a binary valued function f : Rd → {−1, 1} chosen on the basis of the training set alone.",accepted,Pitanje jasno trazi domen i kodomen; dva odlomka daju vektor slike i binarne oznake.,assistant
test-042,How is a 100-by-100 pixel image turned into the vector used by the classifier?,test,paraphrase,image_representation,v2-image-flattening-dimension,"Pixel intensities are concatenated column by column into a 10,000-dimensional column vector.","01_mit_introduction_classification.pdf, page 1: the pixel intensity values in the image, column by column, are concatenated into a single column vector. If the image has 100 by 100 pixels, then d = 10000.",accepted,Pitanje je jasno; dva preklapajuca odlomka daju redosled spljostavanja i dimenziju.,assistant
